Model,OOS_R2
OLS,0.0176104630439905
Huber,0.020801696196851682
ElasticNet,0.022269698512289327
PCR,0.027308187198271994
PLS,0.0255664154024704
RandomForest,0.002940210954409661
BoostedTrees,-0.05726823267185921
