,OLS,Huber,ElasticNet,PCR,PLS,RandomForest,BoostedTrees
OLS,0.0,2.4282509125857703,1.4854014388988808,1.4288199572192648,1.5762382809576636,-1.5941802616821952,-3.7583626468742177
Huber,-2.4282509125857703,0.0,0.45441673199196,0.9595370052148752,0.9288758981464434,-1.939888586992031,-3.906112909219512
ElasticNet,-1.4854014388988808,-0.45441673199196,0.0,1.103376363165072,1.3490281155672623,-2.3553362901688892,-4.05415567256893
PCR,-1.4288199572192648,-0.9595370052148752,-1.103376363165072,0.0,-0.5059748821577593,-2.8243985663134055,-4.299754463220064
PLS,-1.5762382809576636,-0.9288758981464434,-1.3490281155672623,0.5059748821577593,0.0,-2.771635948725669,-4.2277068299566745
RandomForest,1.5941802616821952,1.939888586992031,2.3553362901688892,2.8243985663134055,2.771635948725669,0.0,-3.7376173661247427
BoostedTrees,3.7583626468742177,3.906112909219512,4.05415567256893,4.299754463220064,4.2277068299566745,3.7376173661247427,0.0
